Test,Executor,Timing (s)
2mm,vWasm-nopeep,16.894058
2mm,vWasm-nopeep,17.293988
2mm,vWasm-nopeep,17.204012
2mm,vWasm-nopeep,16.893909
2mm,vWasm-nopeep,16.972703
2mm,vWasm-nopeep-nosbx,16.695341
2mm,vWasm-nopeep-nosbx,16.921309
2mm,vWasm-nopeep-nosbx,16.788284998
2mm,vWasm-nopeep-nosbx,16.759207
2mm,vWasm-nopeep-nosbx,16.653284
2mm,vWasm-nopeep-nosbx,16.926364
2mm,vWasm-nopeep-nosbx,16.65701
2mm,vWasm-nopeep-nosbx,16.830442
2mm,vWasm-nopeep-nosbx,16.761225
2mm,vWasm-nopeep-nosbx,16.738557
3mm,rWasm,7.631387
3mm,rWasm,7.634457
3mm,rWasm,7.663612
3mm,rWasm,7.689881
3mm,rWasm,7.796733
3mm,rWasm,7.629765
3mm,rWasm,7.625964
3mm,rWasm,7.67397
3mm,rWasm,7.570778
3mm,rWasm,7.60154
3mm,wasmtime,11.380781
3mm,wasmtime,10.828443
3mm,wasmtime,10.766792
3mm,wasmtime,10.81505
3mm,wasmtime,10.818552
3mm,wasmtime,10.768056
3mm,wasmtime,10.909557
3mm,wasmtime,11.724701
3mm,wasmtime,11.675707
3mm,wasmtime,11.665299
3mm,wasmer-js,14.801
3mm,wasmer-js,14.665
3mm,wasmer-js,14.748
3mm,wasmer-js,14.635
3mm,wasmer-js,14.67
3mm,wasmer-js,14.593
3mm,wasmer-js,14.77
3mm,wasmer-js,14.656
3mm,wasmer-js,14.782
3mm,wasmer-js,14.773
3mm,wasmer-default,10.691559999999999
3mm,wasmer-default,11.237806
3mm,wasmer-default,11.18618
3mm,wasmer-default,11.069942
3mm,wasmer-default,10.236373
3mm,wasmer-default,8.940941
3mm,wasmer-default,9.049075
3mm,wasmer-default,8.801311
3mm,wasmer-default,8.959437
3mm,wasmer-default,9.880916
3mm,wasmer-cranelift,8.589238998
3mm,wasmer-cranelift,9.775967
3mm,wasmer-cranelift,9.904598
3mm,wasmer-cranelift,9.889522
3mm,wasmer-cranelift,9.954695
3mm,wasmer-cranelift,9.943485
3mm,wasmer-cranelift,9.824665
3mm,wasmer-cranelift,8.781798
3mm,wasmer-cranelift,8.52031
3mm,wasmer-cranelift,8.554242
3mm,wasmer-jit,8.734908
3mm,wasmer-jit,8.623359
3mm,wasmer-jit,8.484908
3mm,wasmer-jit,8.493959995
3mm,wasmer-jit,9.370729
3mm,wasmer-jit,9.717601
3mm,wasmer-jit,10.037202
3mm,wasmer-jit,9.837677
3mm,wasmer-jit,9.742651
3mm,wasmer-jit,8.569656995
3mm,wasmer-llvm,15.082522
3mm,wasmer-llvm,15.302401
3mm,wasmer-llvm,15.163948
3mm,wasmer-llvm,15.212884
3mm,wasmer-llvm,15.075083
3mm,wasmer-llvm,15.098777
3mm,wasmer-llvm,15.11042
3mm,wasmer-llvm,15.329796
3mm,wasmer-llvm,15.101744
3mm,wasmer-llvm,15.121308
3mm,wasmer-native,9.274068
3mm,wasmer-native,9.656664
3mm,wasmer-native,9.492454
3mm,wasmer-native,8.785846
3mm,wasmer-native,9.565987
3mm,wasmer-native,9.524999
3mm,wasmer-native,9.704042
3mm,wasmer-native,9.76478
3mm,wasmer-native,8.930883
3mm,wasmer-native,8.972746
3mm,wavm-precompiled,16.403445992
3mm,wavm-precompiled,16.456381
3mm,wavm-precompiled,16.526007
3mm,wavm-precompiled,16.389602
3mm,wavm-precompiled,16.316211
3mm,wavm-precompiled,16.476887
3mm,wavm-precompiled,16.636980995000002
3mm,wavm-precompiled,16.318612
3mm,wavm-precompiled,16.298151
3mm,wavm-precompiled,16.408983
3mm,wasm3,57.629997
3mm,wasm3,58.155
3mm,wasm3,57.746013
3mm,wasm3,57.783
3mm,wasm3,57.707
3mm,wasm3,58.129
3mm,wasm3,57.976847
3mm,wasm3,57.982008
3mm,wasm3,58.257
3mm,wasm3,57.662
3mm,WAMR-interpreter,54.403281
3mm,WAMR-interpreter,54.13663
3mm,WAMR-interpreter,54.548104
3mm,WAMR-interpreter,54.005577
3mm,WAMR-interpreter,54.754929
3mm,WAMR-interpreter,54.319771
3mm,WAMR-interpreter,54.261001
3mm,WAMR-interpreter,54.340029
3mm,WAMR-interpreter,54.401535
3mm,WAMR-interpreter,54.537253
3mm,WAMR-compiled-nobounds,16.111989
3mm,WAMR-compiled-nobounds,16.165702
3mm,WAMR-compiled-nobounds,15.230026
3mm,WAMR-compiled-nobounds,16.147023999
3mm,WAMR-compiled-nobounds,15.681062
3mm,WAMR-compiled-nobounds,15.196487
3mm,WAMR-compiled-nobounds,15.667743
3mm,WAMR-compiled-nobounds,16.198149999
3mm,WAMR-compiled-nobounds,16.073473
3mm,WAMR-compiled-nobounds,16.095804
3mm,WAMR-compiled-chkbounds,11.420156
3mm,WAMR-compiled-chkbounds,11.49761
3mm,WAMR-compiled-chkbounds,11.282202999999999
3mm,WAMR-compiled-chkbounds,11.340599
3mm,WAMR-compiled-chkbounds,11.325512
3mm,WAMR-compiled-chkbounds,11.897213
3mm,WAMR-compiled-chkbounds,12.344859
3mm,WAMR-compiled-chkbounds,12.201144
3mm,WAMR-compiled-chkbounds,11.906248
3mm,WAMR-compiled-chkbounds,12.010639
3mm,wasm2c,8.758479
3mm,wasm2c,8.818512
3mm,wasm2c,8.814239
3mm,wasm2c,8.826504
3mm,wasm2c,8.863489
3mm,wasm2c,8.849598
3mm,wasm2c,8.721392999999999
3mm,wasm2c,8.876496
3mm,wasm2c,8.887021
3mm,wasm2c,8.874503
3mm,native,33.005373
3mm,native,33.535269999
3mm,native,33.496259
3mm,native,34.270336
3mm,native,34.310820999
3mm,native,34.243164999
3mm,native,33.139836
3mm,native,33.384572
3mm,native,33.068742
3mm,native,33.241383
3mm,vWasm,24.159601
3mm,vWasm,24.225244
3mm,vWasm,24.064994
3mm,vWasm,24.12952
3mm,vWasm,24.058205
3mm,vWasm,24.094289
3mm,vWasm,24.162066
3mm,vWasm,24.179845
3mm,vWasm,24.172594
3mm,vWasm,24.336693
3mm,vWasm-O0,23.864521
3mm,vWasm-O0,24.056582
3mm,vWasm-O0,23.846193
3mm,vWasm-O0,23.71688
3mm,vWasm-O0,24.149026
3mm,vWasm-O0,24.095022
3mm,vWasm-O0,24.295727
3mm,vWasm-O0,24.079284
3mm,vWasm-O0,24.229035
3mm,vWasm-O0,24.501
3mm,vWasm-nosbx,24.211115
3mm,vWasm-nosbx,24.156125
3mm,vWasm-nosbx,24.373597
3mm,vWasm-nosbx,24.19947
3mm,vWasm-nosbx,23.781141
3mm,vWasm-nosbx,24.653847
3mm,vWasm-nosbx,24.1744
3mm,vWasm-nosbx,24.248058
3mm,vWasm-nosbx,25.009743
3mm,vWasm-nosbx,24.192685
3mm,vWasm-nopeep,24.051486
3mm,vWasm-nopeep,24.45366
3mm,vWasm-nopeep,24.251743
3mm,vWasm-nopeep,24.349072
3mm,vWasm-nopeep,24.21997
3mm,vWasm-nopeep,23.933673
3mm,vWasm-nopeep,24.284585
3mm,vWasm-nopeep,24.22218
3mm,vWasm-nopeep,24.470957
3mm,vWasm-nopeep,24.394827
3mm,vWasm-nopeep-nosbx,24.098219
3mm,vWasm-nopeep-nosbx,23.939475
3mm,vWasm-nopeep-nosbx,24.240234
3mm,vWasm-nopeep-nosbx,24.031494
3mm,vWasm-nopeep-nosbx,24.224287
3mm,vWasm-nopeep-nosbx,24.035978
3mm,vWasm-nopeep-nosbx,23.819868
3mm,vWasm-nopeep-nosbx,24.134267
3mm,vWasm-nopeep-nosbx,24.063795
3mm,vWasm-nopeep-nosbx,24.079286
adi,rWasm,0.653779
adi,rWasm,0.654802
adi,rWasm,0.656735
adi,rWasm,0.649898
adi,rWasm,0.653857
adi,rWasm,0.653108
adi,rWasm,0.655703
adi,rWasm,0.651276
adi,rWasm,0.653772
adi,rWasm,0.650931
adi,wasmtime,0.527611
adi,wasmtime,0.52852
adi,wasmtime,0.528987
adi,wasmtime,0.532566
adi,wasmtime,0.530664
adi,wasmtime,0.525332
adi,wasmtime,0.538412
adi,wasmtime,0.532688999
adi,wasmtime,0.532606
adi,wasmtime,0.528201
adi,wasmer-js,0.52
adi,wasmer-js,0.524
adi,wasmer-js,0.521
adi,wasmer-js,0.522
adi,wasmer-js,0.525
adi,wasmer-js,0.513
adi,wasmer-js,0.524
adi,wasmer-js,0.516
adi,wasmer-js,0.523
adi,wasmer-js,0.523
adi,wasmer-default,0.79124
adi,wasmer-default,0.786126
adi,wasmer-default,0.790223
adi,wasmer-default,0.788378
adi,wasmer-default,0.77955
adi,wasmer-default,0.787438
adi,wasmer-default,0.791292
adi,wasmer-default,0.786335
adi,wasmer-default,0.791609
adi,wasmer-default,0.789005
adi,wasmer-cranelift,0.754809
adi,wasmer-cranelift,0.750714
adi,wasmer-cranelift,0.747744
adi,wasmer-cranelift,0.744806
adi,wasmer-cranelift,0.756814
adi,wasmer-cranelift,0.751037
adi,wasmer-cranelift,0.753541
adi,wasmer-cranelift,0.746669
adi,wasmer-cranelift,0.749569
adi,wasmer-cranelift,0.744472
adi,wasmer-jit,0.746259
adi,wasmer-jit,0.74846
adi,wasmer-jit,0.751405
adi,wasmer-jit,0.748497
adi,wasmer-jit,0.750275
adi,wasmer-jit,0.749428
adi,wasmer-jit,0.74654
adi,wasmer-jit,0.744489
adi,wasmer-jit,0.74551
adi,wasmer-jit,0.749345
adi,wasmer-llvm,0.545808
adi,wasmer-llvm,0.540569
adi,wasmer-llvm,0.544802
adi,wasmer-llvm,0.541445
adi,wasmer-llvm,0.548442
adi,wasmer-llvm,0.541274
adi,wasmer-llvm,0.544199
adi,wasmer-llvm,0.540117
adi,wasmer-llvm,0.547883
adi,wasmer-llvm,0.541285
adi,wasmer-native,0.735478
adi,wasmer-native,0.741751
adi,wasmer-native,0.741506
adi,wasmer-native,0.74504
adi,wasmer-native,0.738649
adi,wasmer-native,0.739813
adi,wasmer-native,0.744069
adi,wasmer-native,0.744875
adi,wasmer-native,0.744915
adi,wasmer-native,0.742679
adi,wavm-precompiled,0.515565999
adi,wavm-precompiled,0.510576999
adi,wavm-precompiled,0.512479
adi,wavm-precompiled,0.509003
adi,wavm-precompiled,0.516727
adi,wavm-precompiled,0.509208
adi,wavm-precompiled,0.511488
adi,wavm-precompiled,0.508515
adi,wavm-precompiled,0.511413
adi,wavm-precompiled,0.509758
adi,wasm3,9.487
adi,wasm3,9.494
adi,wasm3,9.489
adi,wasm3,9.498
adi,wasm3,9.527
adi,wasm3,9.499
adi,wasm3,9.515
adi,wasm3,9.497
adi,wasm3,9.522003
adi,wasm3,9.508507
adi,WAMR-interpreter,5.285538
adi,WAMR-interpreter,5.258601
adi,WAMR-interpreter,5.286383
adi,WAMR-interpreter,5.357597
adi,WAMR-interpreter,5.365596
adi,WAMR-interpreter,5.403353
adi,WAMR-interpreter,5.299455
adi,WAMR-interpreter,5.302208
adi,WAMR-interpreter,5.287674
adi,WAMR-interpreter,5.296982
adi,WAMR-compiled-nobounds,0.517256999
adi,WAMR-compiled-nobounds,0.517491
adi,WAMR-compiled-nobounds,0.516283
adi,WAMR-compiled-nobounds,0.51861
adi,WAMR-compiled-nobounds,0.514105999
adi,WAMR-compiled-nobounds,0.522732
adi,WAMR-compiled-nobounds,0.517057
adi,WAMR-compiled-nobounds,0.523534
adi,WAMR-compiled-nobounds,0.517111
adi,WAMR-compiled-nobounds,0.543035
adi,WAMR-compiled-chkbounds,0.627619
adi,WAMR-compiled-chkbounds,0.625315
adi,WAMR-compiled-chkbounds,0.625137
adi,WAMR-compiled-chkbounds,0.62681
adi,WAMR-compiled-chkbounds,0.622692
adi,WAMR-compiled-chkbounds,0.631739
adi,WAMR-compiled-chkbounds,0.623809
adi,WAMR-compiled-chkbounds,0.626254
adi,WAMR-compiled-chkbounds,0.623899
adi,WAMR-compiled-chkbounds,0.628303
adi,wasm2c,0.625511
adi,wasm2c,0.626132
adi,wasm2c,0.621962
adi,wasm2c,0.628859
adi,wasm2c,0.627472
adi,wasm2c,0.626002
adi,wasm2c,0.622121
adi,wasm2c,0.630383
adi,wasm2c,0.621921
adi,wasm2c,0.627251
