Test,Executor,Timing (s)
gemver,wasmer-cranelift,0.121665
gemver,wasmer-cranelift,0.121235
gemver,wasmer-cranelift,0.121653
gemver,wasmer-cranelift,0.123116
gemver,wasmer-cranelift,0.122703
gemver,wasmer-cranelift,0.121734
gemver,wasmer-cranelift,0.120598
gemver,wasmer-cranelift,0.121725
gemver,wasmer-cranelift,0.119984
gemver,wasmer-cranelift,0.121606
gemver,wasmer-cranelift,0.120424
gemver,wasmer-cranelift,0.120509
gemver,wasmer-cranelift,0.126194
gemver,wasmer-cranelift,0.121676
gemver,wasmer-cranelift,0.121599
gemver,wasmer-jit,0.121584
gemver,wasmer-jit,0.121934
gemver,wasmer-jit,0.125619
gemver,wasmer-jit,0.120505
gemver,wasmer-jit,0.120993
gemver,wasmer-jit,0.121303
gemver,wasmer-jit,0.120047
gemver,wasmer-jit,0.123161
gemver,wasmer-jit,0.123011
gemver,wasmer-jit,0.120561
gemver,wasmer-jit,0.12056
gemver,wasmer-jit,0.120381
gemver,wasmer-jit,0.121203
gemver,wasmer-jit,0.121252
gemver,wasmer-jit,0.125811
gemver,wasmer-jit,0.120776
gemver,wasmer-jit,0.121573
gemver,wasmer-jit,0.121548
gemver,wasmer-jit,0.122127
gemver,wasmer-jit,0.120893
gemver,wasmer-llvm,0.069702
gemver,wasmer-llvm,0.069322
gemver,wasmer-llvm,0.069043
gemver,wasmer-llvm,0.0692
gemver,wasmer-llvm,0.069234
gemver,wasmer-llvm,0.06923
gemver,wasmer-llvm,0.069244
gemver,wasmer-llvm,0.069033
gemver,wasmer-llvm,0.068741
gemver,wasmer-llvm,0.068932
gemver,wasmer-llvm,0.069373
gemver,wasmer-llvm,0.068399
gemver,wasmer-llvm,0.068266
gemver,wasmer-llvm,0.068235
gemver,wasmer-llvm,0.068429
gemver,wasmer-llvm,0.068357
gemver,wasmer-llvm,0.068317
gemver,wasmer-llvm,0.068355
gemver,wasmer-llvm,0.068335
gemver,wasmer-llvm,0.068402
gemver,wasmer-llvm,0.068928
gemver,wasmer-llvm,0.070239
gemver,wasmer-llvm,0.068278
gemver,wasmer-llvm,0.068355
gemver,wasmer-llvm,0.068243
gemver,wasmer-llvm,0.068337
gemver,wasmer-llvm,0.068417
gemver,wasmer-llvm,0.068149
gemver,wasmer-llvm,0.068366
gemver,wasmer-llvm,0.068351
gemver,wasmer-llvm,0.068313
gemver,wasmer-llvm,0.068908
gemver,wasmer-llvm,0.069187
gemver,wasmer-llvm,0.068245
gemver,wasmer-llvm,0.068229
gemver,wasmer-native,0.120617
gemver,wasmer-native,0.121373
gemver,wasmer-native,0.120873
gemver,wasmer-native,0.121528
gemver,wasmer-native,0.123609
gemver,wasmer-native,0.122211
gemver,wasmer-native,0.120563
gemver,wasmer-native,0.122663
gemver,wasmer-native,0.120605
gemver,wasmer-native,0.121663
gemver,wasmer-native,0.122979
gemver,wasmer-native,0.121702
gemver,wasmer-native,0.122871
gemver,wasmer-native,0.119968
gemver,wasmer-native,0.121061
gemver,wasmer-native,0.120595
gemver,wasmer-native,0.123455
gemver,wasmer-native,0.12128
gemver,wasmer-native,0.120319
gemver,wasmer-native,0.122329
gemver,wavm-precompiled,0.046023
gemver,wavm-precompiled,0.045886
gemver,wavm-precompiled,0.046032
gemver,wavm-precompiled,0.046077
gemver,wavm-precompiled,0.045973
gemver,wavm-precompiled,0.04662
gemver,wavm-precompiled,0.046634
gemver,wavm-precompiled,0.045959
gemver,wavm-precompiled,0.045915
gemver,wavm-precompiled,0.046441
gemver,wavm-precompiled,0.046455
gemver,wavm-precompiled,0.045871
gemver,wavm-precompiled,0.045924
gemver,wavm-precompiled,0.045866
gemver,wavm-precompiled,0.046021
gemver,wavm-precompiled,0.046295
gemver,wavm-precompiled,0.046672
gemver,wavm-precompiled,0.046103
gemver,wavm-precompiled,0.045906
gemver,wavm-precompiled,0.045898
gemver,wavm-precompiled,0.045976
gemver,wavm-precompiled,0.04594
gemver,wavm-precompiled,0.04594
gemver,wavm-precompiled,0.045985
gemver,wavm-precompiled,0.046014
gemver,wavm-precompiled,0.046203
gemver,wavm-precompiled,0.046612
gemver,wavm-precompiled,0.04688
gemver,wavm-precompiled,0.046635
gemver,wavm-precompiled,0.046761
gemver,wavm-precompiled,0.046164
gemver,wavm-precompiled,0.04594
gemver,wavm-precompiled,0.046587
gemver,wavm-precompiled,0.046635
gemver,wavm-precompiled,0.04672
gemver,wavm-precompiled,0.046572
gemver,wavm-precompiled,0.046952
gemver,wavm-precompiled,0.046552
gemver,wavm-precompiled,0.046346
gemver,wavm-precompiled,0.045908
gemver,wavm-precompiled,0.046188
gemver,wavm-precompiled,0.046058
gemver,wavm-precompiled,0.045941
gemver,wavm-precompiled,0.046071
gemver,wavm-precompiled,0.046067
gemver,wavm-precompiled,0.046326
gemver,wavm-precompiled,0.046523
gemver,wavm-precompiled,0.046512
gemver,wavm-precompiled,0.046667
gemver,wavm-precompiled,0.046498
gemver,wavm-precompiled,0.046518
gemver,wavm-precompiled,0.046494
gemver,wavm-precompiled,0.046491
gemver,wavm-precompiled,0.046524
gemver,wasm3,1.271
gemver,wasm3,1.262013
gemver,wasm3,1.270998
gemver,wasm3,1.263013
gemver,wasm3,1.271987
gemver,wasm3,1.264002
gemver,wasm3,1.270999
gemver,wasm3,1.264
gemver,wasm3,1.274013
gemver,wasm3,1.274
gemver,WAMR-interpreter,0.897251
gemver,WAMR-interpreter,0.889445
gemver,WAMR-interpreter,0.889121
gemver,WAMR-interpreter,0.886664
gemver,WAMR-interpreter,0.891831
gemver,WAMR-interpreter,0.891927
gemver,WAMR-interpreter,0.894743
gemver,WAMR-interpreter,0.895438
gemver,WAMR-interpreter,0.894665
gemver,WAMR-interpreter,0.894322
gemver,WAMR-compiled-nobounds,0.063743997
gemver,WAMR-compiled-nobounds,0.064277
gemver,WAMR-compiled-nobounds,0.063318
gemver,WAMR-compiled-nobounds,0.063247
gemver,WAMR-compiled-nobounds,0.059582
gemver,WAMR-compiled-nobounds,0.063125
gemver,WAMR-compiled-nobounds,0.063516
gemver,WAMR-compiled-nobounds,0.063427
gemver,WAMR-compiled-nobounds,0.065568
gemver,WAMR-compiled-nobounds,0.061685
gemver,WAMR-compiled-nobounds,0.064206
gemver,WAMR-compiled-nobounds,0.061029
gemver,WAMR-compiled-nobounds,0.063267
gemver,WAMR-compiled-nobounds,0.061244
gemver,WAMR-compiled-nobounds,0.063692
gemver,WAMR-compiled-nobounds,0.062267
gemver,WAMR-compiled-nobounds,0.062226
gemver,WAMR-compiled-nobounds,0.060545
gemver,WAMR-compiled-nobounds,0.063721
gemver,WAMR-compiled-nobounds,0.063835
gemver,WAMR-compiled-nobounds,0.066856
gemver,WAMR-compiled-nobounds,0.062439
gemver,WAMR-compiled-nobounds,0.062686
gemver,WAMR-compiled-nobounds,0.06338
gemver,WAMR-compiled-nobounds,0.062725
gemver,WAMR-compiled-nobounds,0.063473
gemver,WAMR-compiled-nobounds,0.063377
gemver,WAMR-compiled-nobounds,0.059961
gemver,WAMR-compiled-nobounds,0.062517
gemver,WAMR-compiled-nobounds,0.062129
gemver,WAMR-compiled-nobounds,0.063625
gemver,WAMR-compiled-nobounds,0.064689
gemver,WAMR-compiled-nobounds,0.064992997
gemver,WAMR-compiled-nobounds,0.063103994
gemver,WAMR-compiled-nobounds,0.062836
gemver,WAMR-compiled-nobounds,0.063635
gemver,WAMR-compiled-nobounds,0.060348
gemver,WAMR-compiled-nobounds,0.063336
gemver,WAMR-compiled-nobounds,0.074191
gemver,WAMR-compiled-chkbounds,0.067593
gemver,WAMR-compiled-chkbounds,0.07028
gemver,WAMR-compiled-chkbounds,0.068507
gemver,WAMR-compiled-chkbounds,0.068557
gemver,WAMR-compiled-chkbounds,0.070467
gemver,WAMR-compiled-chkbounds,0.069053
gemver,WAMR-compiled-chkbounds,0.069105
gemver,WAMR-compiled-chkbounds,0.067763
gemver,WAMR-compiled-chkbounds,0.067639
gemver,WAMR-compiled-chkbounds,0.070776
gemver,WAMR-compiled-chkbounds,0.06801
gemver,WAMR-compiled-chkbounds,0.068093
gemver,WAMR-compiled-chkbounds,0.067639
gemver,WAMR-compiled-chkbounds,0.068513
gemver,WAMR-compiled-chkbounds,0.068522
gemver,WAMR-compiled-chkbounds,0.067841
gemver,WAMR-compiled-chkbounds,0.067803
gemver,WAMR-compiled-chkbounds,0.067732
gemver,WAMR-compiled-chkbounds,0.067442
gemver,WAMR-compiled-chkbounds,0.067788
gemver,WAMR-compiled-chkbounds,0.067794
gemver,WAMR-compiled-chkbounds,0.070471
gemver,WAMR-compiled-chkbounds,0.06812
gemver,WAMR-compiled-chkbounds,0.068617
gemver,WAMR-compiled-chkbounds,0.068949
gemver,WAMR-compiled-chkbounds,0.068501
gemver,WAMR-compiled-chkbounds,0.06789
gemver,WAMR-compiled-chkbounds,0.069171
gemver,WAMR-compiled-chkbounds,0.067687
gemver,WAMR-compiled-chkbounds,0.068041
gemver,WAMR-compiled-chkbounds,0.068373
gemver,WAMR-compiled-chkbounds,0.072142
gemver,WAMR-compiled-chkbounds,0.067837
gemver,WAMR-compiled-chkbounds,0.068362
gemver,WAMR-compiled-chkbounds,0.078239
gemver,WAMR-compiled-chkbounds,0.068121
gemver,wasm2c,0.168045
gemver,wasm2c,0.167741
gemver,wasm2c,0.170949
gemver,wasm2c,0.173283
gemver,wasm2c,0.170223
gemver,wasm2c,0.172267
gemver,wasm2c,0.171813
gemver,wasm2c,0.171198
gemver,wasm2c,0.167887
gemver,wasm2c,0.173988
gemver,wasm2c,0.172625
gemver,wasm2c,0.169993
gemver,wasm2c,0.170082
gemver,wasm2c,0.172156
gemver,native,0.039987
gemver,native,0.040124
gemver,native,0.040047
gemver,native,0.048762
gemver,native,0.041169
gemver,native,0.042122
gemver,native,0.041092
gemver,native,0.042196
gemver,native,0.040145
gemver,native,0.040039
gemver,native,0.039992
gemver,native,0.039949
gemver,native,0.040097
gemver,native,0.041494
gemver,native,0.039994
gemver,native,0.040147
gemver,native,0.039948
gemver,native,0.040386
gemver,native,0.040642
gemver,native,0.040415
gemver,native,0.040468
gemver,native,0.042752
gemver,native,0.041084
gemver,native,0.040523
gemver,native,0.039856
gemver,native,0.040366
gemver,native,0.040669
gemver,native,0.041521
gemver,native,0.040052
gemver,native,0.042327
gemver,native,0.040208
gemver,native,0.040007
gemver,native,0.039997
gemver,native,0.040175
gemver,native,0.040016
gemver,native,0.039869
gemver,native,0.040923
gemver,native,0.049155
gemver,native,0.040478
gemver,native,0.040122
gemver,native,0.040263
gemver,native,0.040072
gemver,native,0.040542
gemver,native,0.040347
gemver,native,0.04043
gemver,native,0.040114
gemver,native,0.040083
gemver,native,0.040011
gemver,native,0.040117
gemver,native,0.048248
gemver,native,0.040032
gemver,native,0.040755
gemver,native,0.040763
gemver,native,0.049277
gemver,native,0.040143
gemver,native,0.039991
gemver,native,0.039947
gemver,native,0.040063
gemver,native,0.040003
gemver,native,0.041373
gemver,native,0.040051
gemver,native,0.040051
gemver,vWasm,0.500405
gemver,vWasm,0.495209
gemver,vWasm,0.499167
gemver,vWasm,0.494303
gemver,vWasm,0.507885
gemver,vWasm,0.509723
gemver,vWasm,0.500426
gemver,vWasm,0.495003
gemver,vWasm,0.497279
gemver,vWasm,0.495757
gemver,vWasm-O0,0.498104
gemver,vWasm-O0,0.498888
gemver,vWasm-O0,0.494148
gemver,vWasm-O0,0.499356
gemver,vWasm-O0,0.493935
gemver,vWasm-O0,0.498455
gemver,vWasm-O0,0.494812
gemver,vWasm-O0,0.499485
gemver,vWasm-O0,0.49589
gemver,vWasm-O0,0.498605
gemver,vWasm-nosbx,0.498812
gemver,vWasm-nosbx,0.494931
gemver,vWasm-nosbx,0.498082
gemver,vWasm-nosbx,0.494511
gemver,vWasm-nosbx,0.498916
gemver,vWasm-nosbx,0.494773
gemver,vWasm-nosbx,0.498929
gemver,vWasm-nosbx,0.495035
gemver,vWasm-nosbx,0.498122
gemver,vWasm-nosbx,0.494608
gemver,vWasm-nopeep,0.498048
gemver,vWasm-nopeep,0.498729
gemver,vWasm-nopeep,0.499086
gemver,vWasm-nopeep,0.500403999
gemver,vWasm-nopeep,0.497037
gemver,vWasm-nopeep,0.504282
gemver,vWasm-nopeep,0.499599
gemver,vWasm-nopeep,0.502708999
gemver,vWasm-nopeep,0.49954
gemver,vWasm-nopeep,0.500711
gemver,vWasm-nopeep-nosbx,0.496927
gemver,vWasm-nopeep-nosbx,0.494681
gemver,vWasm-nopeep-nosbx,0.497678
gemver,vWasm-nopeep-nosbx,0.496151
gemver,vWasm-nopeep-nosbx,0.499747
gemver,vWasm-nopeep-nosbx,0.495592
gemver,vWasm-nopeep-nosbx,0.499889
gemver,vWasm-nopeep-nosbx,0.495208
gemver,vWasm-nopeep-nosbx,0.500159
gemver,vWasm-nopeep-nosbx,0.496614
gesummv,rWasm,0.043736
gesummv,rWasm,0.042742
gesummv,rWasm,0.042698
gesummv,rWasm,0.042889
gesummv,rWasm,0.043037
gesummv,rWasm,0.042564
gesummv,rWasm,0.041986
gesummv,rWasm,0.042049
gesummv,rWasm,0.042074
gesummv,rWasm,0.042089
gesummv,rWasm,0.042092
gesummv,rWasm,0.042079
gesummv,rWasm,0.042183
gesummv,rWasm,0.045901
gesummv,rWasm,0.042514
gesummv,rWasm,0.041923
gesummv,rWasm,0.042051
gesummv,rWasm,0.041989
gesummv,rWasm,0.042324
gesummv,rWasm,0.042014
gesummv,rWasm,0.04208
gesummv,rWasm,0.042094
gesummv,rWasm,0.042937
gesummv,rWasm,0.04265
gesummv,rWasm,0.042117
gesummv,rWasm,0.042069
gesummv,rWasm,0.042117
gesummv,rWasm,0.042181
gesummv,rWasm,0.042132
gesummv,rWasm,0.042264
gesummv,rWasm,0.042133
gesummv,rWasm,0.042143
gesummv,rWasm,0.042509
gesummv,rWasm,0.042767
gesummv,rWasm,0.042008
gesummv,rWasm,0.042648
gesummv,rWasm,0.041916
gesummv,rWasm,0.042128
gesummv,rWasm,0.042261
gesummv,rWasm,0.042113
gesummv,rWasm,0.042259
gesummv,rWasm,0.043142
gesummv,rWasm,0.042812
gesummv,rWasm,0.042465
gesummv,rWasm,0.042034
gesummv,rWasm,0.054259
gesummv,rWasm,0.042071
gesummv,rWasm,0.041982
gesummv,rWasm,0.042166
gesummv,rWasm,0.042152
gesummv,rWasm,0.042206
gesummv,rWasm,0.04251
gesummv,rWasm,0.042755
gesummv,rWasm,0.041991
gesummv,rWasm,0.044058
gesummv,rWasm,0.042123
gesummv,rWasm,0.042067
gesummv,wasmtime,0.041636
gesummv,wasmtime,0.041755
gesummv,wasmtime,0.041742
gesummv,wasmtime,0.041775
gesummv,wasmtime,0.042081
gesummv,wasmtime,0.042164
gesummv,wasmtime,0.041682
gesummv,wasmtime,0.041558
gesummv,wasmtime,0.041737
gesummv,wasmtime,0.041739
gesummv,wasmtime,0.041415
gesummv,wasmtime,0.041542
gesummv,wasmtime,0.041542
gesummv,wasmtime,0.041482
gesummv,wasmtime,0.04146
gesummv,wasmtime,0.041953
gesummv,wasmtime,0.042256
gesummv,wasmtime,0.04188
gesummv,wasmtime,0.041767
gesummv,wasmtime,0.041803
gesummv,wasmtime,0.041743
gesummv,wasmtime,0.0417
gesummv,wasmtime,0.041747
gesummv,wasmtime,0.041669
gesummv,wasmtime,0.041711
gesummv,wasmtime,0.04139
gesummv,wasmtime,0.041787
gesummv,wasmtime,0.042176
gesummv,wasmtime,0.041988
gesummv,wasmtime,0.041442
gesummv,wasmtime,0.04171
gesummv,wasmtime,0.041765
gesummv,wasmtime,0.041801
gesummv,wasmtime,0.041708
gesummv,wasmtime,0.041721
gesummv,wasmtime,0.041774
gesummv,wasmtime,0.041711
gesummv,wasmtime,0.041521
gesummv,wasmtime,0.042022
gesummv,wasmtime,0.041895
gesummv,wasmtime,0.041513
gesummv,wasmtime,0.041556
gesummv,wasmtime,0.041473
gesummv,wasmtime,0.04155
gesummv,wasmtime,0.041401
gesummv,wasmtime,0.041729
gesummv,wasmtime,0.041755
gesummv,wasmtime,0.041421
gesummv,wasmtime,0.04175
gesummv,wasmtime,0.042005
gesummv,wasmtime,0.042282
gesummv,wasmtime,0.041666
gesummv,wasmtime,0.041396
gesummv,wasmtime,0.041394
gesummv,wasmtime,0.041484
gesummv,wasmtime,0.041444
gesummv,wasmtime,0.041478
gesummv,wasmtime,0.041417
gesummv,wasmtime,0.04143
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.043
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.043
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.043
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.043
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.041
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-js,0.042
gesummv,wasmer-default,0.053403
gesummv,wasmer-default,0.053695
gesummv,wasmer-default,0.053868
gesummv,wasmer-default,0.054095
gesummv,wasmer-default,0.05344
gesummv,wasmer-default,0.053934
gesummv,wasmer-default,0.053243
gesummv,wasmer-default,0.053382
gesummv,wasmer-default,0.053231
gesummv,wasmer-default,0.053971
gesummv,wasmer-default,0.053913
gesummv,wasmer-default,0.053438
gesummv,wasmer-default,0.053102
gesummv,wasmer-default,0.053238
gesummv,wasmer-default,0.05332
gesummv,wasmer-default,0.053237
gesummv,wasmer-default,0.053444
gesummv,wasmer-default,0.053954
gesummv,wasmer-default,0.053695
gesummv,wasmer-default,0.05336
gesummv,wasmer-default,0.053342
gesummv,wasmer-default,0.05365
gesummv,wasmer-default,0.053758
gesummv,wasmer-default,0.053813
gesummv,wasmer-default,0.053908
gesummv,wasmer-default,0.059518
gesummv,wasmer-default,0.053867
gesummv,wasmer-default,0.053846
gesummv,wasmer-default,0.053696
gesummv,wasmer-default,0.053843
gesummv,wasmer-default,0.05378
gesummv,wasmer-default,0.054052
gesummv,wasmer-default,0.053731
gesummv,wasmer-default,0.053873
gesummv,wasmer-default,0.053822
gesummv,wasmer-default,0.05316
gesummv,wasmer-default,0.053572
gesummv,wasmer-default,0.053258
gesummv,wasmer-default,0.053792
gesummv,wasmer-default,0.053146
gesummv,wasmer-default,0.053254
gesummv,wasmer-default,0.053373
gesummv,wasmer-default,0.053311
gesummv,wasmer-default,0.053293
gesummv,wasmer-default,0.053245
gesummv,wasmer-default,0.053905
gesummv,wasmer-cranelift,0.0533
gesummv,wasmer-cranelift,0.053372
gesummv,wasmer-cranelift,0.054924
gesummv,wasmer-cranelift,0.053394
gesummv,wasmer-cranelift,0.053322
gesummv,wasmer-cranelift,0.053279
gesummv,wasmer-cranelift,0.053734
gesummv,wasmer-cranelift,0.053233
gesummv,wasmer-cranelift,0.053781
gesummv,wasmer-cranelift,0.054158
gesummv,wasmer-cranelift,0.053983
gesummv,wasmer-cranelift,0.053831
gesummv,wasmer-cranelift,0.054104
gesummv,wasmer-cranelift,0.053903
gesummv,wasmer-cranelift,0.054115
gesummv,wasmer-cranelift,0.053761
gesummv,wasmer-cranelift,0.053958
gesummv,wasmer-cranelift,0.053791
gesummv,wasmer-cranelift,0.053742
gesummv,wasmer-cranelift,0.053945
gesummv,wasmer-cranelift,0.053867
gesummv,wasmer-cranelift,0.054047
gesummv,wasmer-cranelift,0.053886
gesummv,wasmer-cranelift,0.053893
gesummv,wasmer-cranelift,0.053862
gesummv,wasmer-cranelift,0.053864
gesummv,wasmer-cranelift,0.054074
gesummv,wasmer-cranelift,0.053885
gesummv,wasmer-cranelift,0.054052
gesummv,wasmer-cranelift,0.053843
gesummv,wasmer-cranelift,0.053804
gesummv,wasmer-cranelift,0.053895
gesummv,wasmer-cranelift,0.053341
gesummv,wasmer-cranelift,0.053321
gesummv,wasmer-cranelift,0.05363
gesummv,wasmer-cranelift,0.053519
gesummv,wasmer-cranelift,0.059078
gesummv,wasmer-cranelift,0.05327
gesummv,wasmer-cranelift,0.055356
gesummv,wasmer-cranelift,0.053258
gesummv,wasmer-cranelift,0.053336
gesummv,wasmer-cranelift,0.053686
gesummv,wasmer-cranelift,0.053774
gesummv,wasmer-cranelift,0.053192
gesummv,wasmer-cranelift,0.053843
gesummv,wasmer-cranelift,0.053784
gesummv,wasmer-jit,0.053764
gesummv,wasmer-jit,0.053753
gesummv,wasmer-jit,0.05381
gesummv,wasmer-jit,0.054334
gesummv,wasmer-jit,0.053225
gesummv,wasmer-jit,0.053284
gesummv,wasmer-jit,0.053626
gesummv,wasmer-jit,0.053316
gesummv,wasmer-jit,0.053201
gesummv,wasmer-jit,0.053462
gesummv,wasmer-jit,0.053945
gesummv,wasmer-jit,0.053914
gesummv,wasmer-jit,0.053905
gesummv,wasmer-jit,0.05376
gesummv,wasmer-jit,0.053845
gesummv,wasmer-jit,0.054047
gesummv,wasmer-jit,0.053754
gesummv,wasmer-jit,0.056337
gesummv,wasmer-jit,0.053809
gesummv,wasmer-jit,0.053852
gesummv,wasmer-jit,0.053793
gesummv,wasmer-jit,0.053756
gesummv,wasmer-jit,0.053761
gesummv,wasmer-jit,0.053929
gesummv,wasmer-jit,0.056821
gesummv,wasmer-jit,0.05407
gesummv,wasmer-jit,0.054793
gesummv,wasmer-jit,0.056338
gesummv,wasmer-jit,0.055072
gesummv,wasmer-jit,0.058393
gesummv,wasmer-jit,0.054989
gesummv,wasmer-jit,0.05711
gesummv,wasmer-jit,0.061495
gesummv,wasmer-jit,0.055009
gesummv,wasmer-jit,0.055086
gesummv,wasmer-jit,0.0551
gesummv,wasmer-jit,0.055097
gesummv,wasmer-jit,0.054982
gesummv,wasmer-jit,0.055252
gesummv,wasmer-jit,0.054963
gesummv,wasmer-jit,0.054979
gesummv,wasmer-jit,0.055086
gesummv,wasmer-jit,0.055032
gesummv,wasmer-jit,0.056643
gesummv,wasmer-jit,0.054943
gesummv,wasmer-jit,0.055085
gesummv,wasmer-llvm,0.051629
gesummv,wasmer-llvm,0.051636
gesummv,wasmer-llvm,0.050482
gesummv,wasmer-llvm,0.049844
gesummv,wasmer-llvm,0.049859
gesummv,wasmer-llvm,0.049671
gesummv,wasmer-llvm,0.049754
gesummv,wasmer-llvm,0.049909
gesummv,wasmer-llvm,0.050554
gesummv,wasmer-llvm,0.050192
gesummv,wasmer-llvm,0.049979
gesummv,wasmer-llvm,0.050049
gesummv,wasmer-llvm,0.049866
gesummv,wasmer-llvm,0.050066
gesummv,wasmer-llvm,0.049775
gesummv,wasmer-llvm,0.049532
gesummv,wasmer-llvm,0.04958
gesummv,wasmer-llvm,0.049636
gesummv,wasmer-llvm,0.050155
gesummv,wasmer-llvm,0.050436
gesummv,wasmer-llvm,0.050218
gesummv,wasmer-llvm,0.049518
gesummv,wasmer-llvm,0.049611
gesummv,wasmer-llvm,0.049588
gesummv,wasmer-llvm,0.049543
gesummv,wasmer-llvm,0.049856
gesummv,wasmer-llvm,0.050007
gesummv,wasmer-llvm,0.049557
gesummv,wasmer-llvm,0.049683
gesummv,wasmer-llvm,0.050386
gesummv,wasmer-llvm,0.049949
gesummv,wasmer-llvm,0.049822
gesummv,wasmer-llvm,0.049967
gesummv,wasmer-llvm,0.049951
gesummv,wasmer-llvm,0.050031
gesummv,wasmer-llvm,0.04997
gesummv,wasmer-llvm,0.050125
gesummv,wasmer-llvm,0.05108
gesummv,wasmer-llvm,0.050006
gesummv,wasmer-llvm,0.050654
gesummv,wasmer-llvm,0.050581
gesummv,wasmer-llvm,0.049818
gesummv,wasmer-llvm,0.04999
gesummv,wasmer-llvm,0.049533
gesummv,wasmer-llvm,0.049613
gesummv,wasmer-llvm,0.050408
gesummv,wasmer-llvm,0.049755
gesummv,wasmer-llvm,0.04956
gesummv,wasmer-native,0.05354
gesummv,wasmer-native,0.053862
gesummv,wasmer-native,0.05346
gesummv,wasmer-native,0.053778
gesummv,wasmer-native,0.053347
gesummv,wasmer-native,0.053293
gesummv,wasmer-native,0.053224
gesummv,wasmer-native,0.053673
gesummv,wasmer-native,0.053316
gesummv,wasmer-native,0.053449
gesummv,wasmer-native,0.056974
gesummv,wasmer-native,0.053282
gesummv,wasmer-native,0.053407
gesummv,wasmer-native,0.053241
gesummv,wasmer-native,0.053792
gesummv,wasmer-native,0.05436
gesummv,wasmer-native,0.053464
gesummv,wasmer-native,0.053252
gesummv,wasmer-native,0.053242
gesummv,wasmer-native,0.053316
gesummv,wasmer-native,0.053342
gesummv,wasmer-native,0.053595
gesummv,wasmer-native,0.054144
gesummv,wasmer-native,0.053385
gesummv,wasmer-native,0.053398
gesummv,wasmer-native,0.053138
gesummv,wasmer-native,0.053286
gesummv,wasmer-native,0.05338
gesummv,wasmer-native,0.060644
gesummv,wasmer-native,0.053896
gesummv,wasmer-native,0.053251
gesummv,wasmer-native,0.053419
gesummv,wasmer-native,0.053514
gesummv,wasmer-native,0.057764
gesummv,wasmer-native,0.053548
gesummv,wasmer-native,0.063047
gesummv,wasmer-native,0.055978
gesummv,wasmer-native,0.053225
gesummv,wasmer-native,0.053379
gesummv,wasmer-native,0.053322
gesummv,wasmer-native,0.053482
gesummv,wasmer-native,0.05461
gesummv,wasmer-native,0.053606
gesummv,wasmer-native,0.054327
gesummv,wasmer-native,0.053406
gesummv,wasmer-native,0.053269
gesummv,wavm-precompiled,0.041364
gesummv,wavm-precompiled,0.041395
gesummv,wavm-precompiled,0.04132
gesummv,wavm-precompiled,0.041327
gesummv,wavm-precompiled,0.041318
gesummv,wavm-precompiled,0.041967
gesummv,wavm-precompiled,0.04225
gesummv,wavm-precompiled,0.041282
gesummv,wavm-precompiled,0.04151
gesummv,wavm-precompiled,0.041226
gesummv,wavm-precompiled,0.041361
gesummv,wavm-precompiled,0.041406
gesummv,wavm-precompiled,0.041314
gesummv,wavm-precompiled,0.041375
gesummv,wavm-precompiled,0.041332
gesummv,wavm-precompiled,0.041708
gesummv,wavm-precompiled,0.042067
gesummv,wavm-precompiled,0.041392
gesummv,wavm-precompiled,0.041497
gesummv,wavm-precompiled,0.041602
gesummv,wavm-precompiled,0.041509
gesummv,wavm-precompiled,0.041496
gesummv,wavm-precompiled,0.041548
gesummv,wavm-precompiled,0.041326
gesummv,wavm-precompiled,0.041354
gesummv,wavm-precompiled,0.041525
gesummv,wavm-precompiled,0.04223
gesummv,wavm-precompiled,0.041273
gesummv,wavm-precompiled,0.041332
