Executor,Test,Time (s),Full Compilation
wasm2c,adi,3.8072521,True
wasm2c,atax,4.81406,True
wasm2c,bicg,4.1163151,True
wasm2c,cholesky,4.8489497,True
wasm2c,correlation,3.7066851,True
wasm2c,covariance,4.6192415,True
wasm2c,doitgen,3.4050425,True
wasm2c,durbin,3.2069449,True
wasm2c,dynprog,3.3042205,True
wasm2c,fdtd-2d,4.5348095,True
wasm2c,fdtd-apml,6.6672316,True
wasm2c,floyd-warshall,5.2120581,True
wasm2c,gemm,6.6306322,True
wasm2c,gemver,4.1378382,True
wasm2c,gesummv,3.4065243,True
wasm2c,gramschmidt,6.1168289,True
wasm2c,jacobi-1d-imper,4.8087783,True
wasm2c,jacobi-2d-imper,4.51332,True
wasm2c,lu,4.6118052,True
wasm2c,ludcmp,4.8167765,True
wasm2c,mvt,4.3131859,True
wasm2c,reg_detect,3.6307852,True
wasm2c,seidel-2d,3.3896847,True
wasm2c,symm,3.5038874,True
wasm2c,syr2k,3.9196534,True
wasm2c,syrk,3.1115180000000002,True
wasm2c,trisolv,3.7494947,True
wasm2c,trmm,3.6357075,True
wavm-precompiled,2mm,0.6102162,True
wavm-precompiled,3mm,0.6088417,True
wavm-precompiled,adi,0.7014348,True
wavm-precompiled,atax,1.2229996,True
wavm-precompiled,bicg,0.8376882,True
wavm-precompiled,cholesky,1.1123974,True
wavm-precompiled,correlation,1.088107,True
wavm-precompiled,covariance,0.8313673,True
wavm-precompiled,doitgen,0.6289472,True
wavm-precompiled,durbin,0.7019855,True
wavm-precompiled,dynprog,0.8074477,True
wavm-precompiled,fdtd-2d,1.3412725,True
wavm-precompiled,fdtd-apml,0.6007754,True
wavm-precompiled,floyd-warshall,0.5010083,True
wavm-precompiled,gemm,1.2387545,True
wavm-precompiled,gemver,1.5123512,True
wavm-precompiled,gesummv,0.827988,True
wavm-precompiled,gramschmidt,0.7294587,True
wavm-precompiled,jacobi-1d-imper,1.2216664,True
wavm-precompiled,jacobi-2d-imper,1.1220758,True
wavm-precompiled,lu,1.230696,True
wavm-precompiled,ludcmp,0.7128971,True
wavm-precompiled,mvt,0.802632,True
wavm-precompiled,reg_detect,1.0428715,True
wavm-precompiled,seidel-2d,0.6162105,True
wavm-precompiled,symm,0.617237,True
wavm-precompiled,syr2k,0.9157129,True
wavm-precompiled,syrk,0.606142,True
wavm-precompiled,trisolv,0.9202812,True
wavm-precompiled,trmm,0.6620925,True
rWasm,2mm,137.7080157,True
